dataset,n_share,n_source_private,method,step,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,final,93.06,91.98,89.95,96.35,93.98
office31,10,10,DANCE,final,91.95,94.7,91.64,97.87,95.17
office31,10,10,OVANet,final,89.51,93.36,90.8,97.8,95.36
office31,10,10,UniOT,final,90.29,92.32,89.07,95.29,90.62
office31,10,10,WiSE-FT,final,73.74,82.34,83.4,97.26,95.27
office31,10,10,ClipCrossModel,final,94.61,93.04,90.56,97.36,95.38
office31,10,10,ClipZeroShot,final,9.09,0.0,0.0,95.54,92.46
office31,10,10,ClipDistill,final,93.33,84.64,84.98,96.65,93.68
office31,10,10,ClipDistillTemp1.0,final,9.09,0.0,0.0,95.54,92.46
office31,10,10,AutoDistill,final,93.19,87.46,86.9,96.74,93.76
office31,10,10,Auto_only_cal,final,93.17,86.74,86.45,96.51,93.39
office31,10,10,Auto_wo_iid,final,89.53,90.31,88.74,96.72,93.72
office31,10,10,Auto_wo_nll,final,85.03,88.52,87.5,96.71,93.65
office31,10,10,Auto_wo_ood,final,91.65,53.55,58.74,93.44,90.6
officehome,10,5,SO,final,85.24,84.52,82.7,92.45,86.89
officehome,10,5,DANCE,final,85.95,89.01,85.6,94.7,90.33
officehome,10,5,OVANet,final,81.2,85.42,83.33,93.84,88.18
officehome,10,5,UniOT,final,89.2,89.45,87.09,93.83,88.85
officehome,10,5,WiSE-FT,final,70.94,79.37,79.4,94.54,90.77
officehome,10,5,ClipCrossModel,final,88.45,86.2,83.73,93.74,89.71
officehome,10,5,ClipZeroShot,final,9.17,0.17,0.25,95.58,92.91
officehome,10,5,ClipDistill,final,91.64,84.45,82.46,94.84,92.27
officehome,10,5,ClipDistillTemp1.0,final,9.17,0.17,0.25,95.58,92.91
officehome,10,5,AutoDistill,final,89.78,87.37,84.39,95.5,92.91
officehome,10,5,Auto_only_cal,final,90.5,86.4,83.73,95.7,93.02
officehome,10,5,Auto_wo_iid,final,85.0,87.61,84.68,95.75,93.16
officehome,10,5,Auto_wo_nll,final,83.31,87.26,84.49,95.78,93.17
officehome,10,5,Auto_wo_ood,final,91.41,74.54,75.44,90.42,87.97
visda,6,3,SO,final,70.3,69.85,74.24,69.87,63.46
visda,6,3,DANCE,final,63.19,71.9,75.77,74.03,57.78
visda,6,3,OVANet,final,50.6,59.47,66.07,77.04,68.57
visda,6,3,UniOT,final,75.28,79.1,77.69,85.72,72.22
visda,6,3,WiSE-FT,final,53.48,62.68,68.68,77.51,70.83
visda,6,3,ClipCrossModel,final,78.1,77.69,79.96,80.6,73.22
visda,6,3,ClipZeroShot,final,14.29,0.0,0.0,87.25,80.9
visda,6,3,ClipDistill,final,84.72,84.18,84.43,89.25,82.97
visda,6,3,ClipDistillTemp1.0,final,14.29,0.0,0.0,87.25,80.9
visda,6,3,AutoDistill,final,81.58,84.73,84.8,89.06,82.59
visda,6,3,Auto_only_cal,final,82.02,84.74,84.8,89.02,82.38
visda,6,3,Auto_wo_iid,final,75.91,82.26,83.13,88.82,82.3
visda,6,3,Auto_wo_nll,final,70.82,78.74,80.7,88.7,82.18
visda,6,3,Auto_wo_ood,final,86.47,78.86,80.78,89.17,83.41
domainnet,150,50,SO,final,46.62,61.49,64.65,82.69,63.19
domainnet,150,50,DANCE,final,45.21,60.53,63.94,83.5,64.88
domainnet,150,50,OVANet,final,62.1,70.7,71.1,84.34,64.3
domainnet,150,50,UniOT,final,68.01,71.42,69.9,80.39,62.88
domainnet,150,50,WiSE-FT,final,2.56,3.74,5.46,85.29,68.72
domainnet,150,50,ClipCrossModel,final,46.65,61.98,65.02,85.94,68.81
domainnet,150,50,ClipZeroShot,final,0.66,0.0,0.0,82.05,69.2
domainnet,150,50,ClipDistill,final,56.75,70.18,70.81,87.36,74.39
domainnet,150,50,ClipDistillTemp1.0,final,0.66,0.0,0.0,82.05,69.2
domainnet,150,50,AutoDistill,final,64.67,73.48,73.0,85.72,73.08
domainnet,150,50,Auto_only_cal,final,79.86,72.37,72.08,88.76,74.86
domainnet,150,50,Auto_wo_iid,final,61.02,72.46,72.34,86.82,73.99
domainnet,150,50,Auto_wo_nll,final,59.15,71.39,71.61,87.08,74.17
domainnet,150,50,Auto_wo_ood,final,66.8,72.97,72.64,84.14,71.72
